id,no_unit,nama_unit,aset,cap_on,aset_desc,acq_val,bulan,depre
954,KB 8461 VB,Mobil KB 8461 VB,150338,2022-09-19,Toyota Hilux Single Cabin MR0DB8CB6-N0112138 PO555,357180180,2023-12-31,-59530030.0
955,KB 1923 VB,Mobil KB 1923 VB,150339,2022-09-19,Toyota Fortuner 2.8 VRZ MHFBA3FS4-N1047649 PO 0512,648756757,2023-12-31,-108126126.16666669
956,CP 05,Compactor 05,150340,2022-10-19,Compactor CAT CS10GC/Sun Canopy T8F00406 PO 0346,840000000,2023-12-31,-131250000.0
957,KB 8475 VB,Mobil KB 8475 VB,150341,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1135043 PO547,431891892,2023-12-31,-62984234.25
958,KB 8478 VB,Mobil KB 8478 VB,150342,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1134989 PO550,431891892,2023-12-31,-62984234.25
959,KB 8476 VB,Mobil KB 8476 VB,150343,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1135160 PO551,431891892,2023-12-31,-62984234.25
960,KB 8477 VB,Mobil KB 8477 VB,150344,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1134638 PO552,431891892,2023-12-31,-62984234.25
961,BD 04,Buldozer 04,150345,2022-12-05,Komatsu Bulldozer D68E-SS-12E0/S1 J20825 PO 0329,2935000000,2023-12-31,-397447916.6666667
962,CL 03,Crawler 03,150346,2022-12-23,Crawler Dump Artrac 2000D C22904267 PO 0381,267000000,2023-12-31,-36156250.0
963,CL 04,Crawler 04,150347,2022-12-23,Crawler Dump Artrac 2000D C22904268 PO 0381,267000000,2023-12-31,-36156250.0
964,KB 8625 VB,Mobil KB 8625 VB,150348,2022-12-23,Toyota Hilux Double Cabin MR0KB8CD4-N1137154 PO553,439729730,2023-12-31,-59546734.27083336
965,Exca 24,Excavator 24,150349,2023-04-01,Excavator 323GCHEX CAT00323EFJM10674 PO 0258,2090400000,2023-12-31,-195975000.0
966,KB 8626 VB,Mobil KB 8626 VB,150350,2023-07-24,Toyota Hilux Double Cabin MR0KB8CD9-N1137599 PO554,471729730,2023-12-31,-29483108.124999996
967,BD 05,Buldozer Mini 05,150351,2023-09-20,Komatsu Mini Bulldozer D31EX-22 SAAAD95LE-5 PO 982,1490000000,2023-12-31,-62083333.33333333
968,0,0,150358,2023-12-22,Compactor CAT CS 533E TJL-01101 No. 3054,150000000,2023-12-31,-1562500.0
969,MG 02 PT. PAM,Motor Greader 02 PT. PAM,150359,2023-12-22,Motor Grader Caterpillar 120K PSZN-00568 KHX:32420,250000000,2023-12-31,-2604166.6666666665
970,Exca 11 PT. PAM,Excavator Mini 11 PT. PAM,150360,2023-12-22,Excavator Hitachi L3730 AFA90A00022652,481250000,2023-12-31,-5013020.833333333
971,Exca 12 PT. PAM,Excavator Mini 12 PT. PAM,150361,2023-12-22,Excavator Hitachi LN3749 AFA90P00022658,495625000,2023-12-31,-5162760.416666667
972,Exca 13 PT. PAM,Excavator Mini 13 PT. PAM,150362,2023-12-22,Excavator Hitachi N4287 AFA90L00022667,495625000,2023-12-31,-5162760.416666667
973,BD 04 PT. PAM,Buldozer Mini 04 PT. PAM,150363,2023-12-22,Bulldozer CAT D1 XL XKF00242 D3600597,1114010417,2023-12-31,-11604275.177083334
974,QT 01,Quick Tractor 01,150364,2024-05-28,Quick Tractor QT-16E  SL B2300153/KIAPJ2065,128558559,2023-12-31,0.0
975,QT 03,Quick Tractor 03,150365,2024-05-28,Quick Tractor QT-16E  SL B2300070/KIANW2531,128558559,2023-12-31,0.0
976,QT 02,Quick Tractor 02,150366,2024-05-28,Quick Tractor QT-16E  SL B2300137/KIAPE1360,128558559,2023-12-31,0.0
977,CL 05,Crawler 05,150367,2024-07-16,Atrack Crawler Dump 2000D // C12907019A,184947917,2023-12-31,0.0
978,CL 06,Crawler 06,150368,2024-07-16,Atrack Crawler Dump 2000D // C12803619A,198750000,2023-12-31,0.0
979,CL 07,Crawler 07,150369,2024-07-16,Atrack Crawler Dump 2000D // C13606566A,198750000,2023-12-31,0.0
980,DT 19,Dump Truck 19,150370,2024-09-10,Bak Self Loader Mini Tronton Hino KB8661VA WO:0027,155000000,2023-12-31,0.0
981,WT 03,Wheel Tractor 03,150098,2008-05-30,TRACTOR JOHN DEERE TYPE 5715 4 WD (J04045T420575),309230625,2024-01-31,-309230625.0
982,BD 01,Buldozer 01,150104,2008-08-25,KOMATSU BULDOZER D68 ESS-12 (J10856),1487590454,2024-01-31,-1487590454.0
983,KB 9716 V,Mobil KB 9716 V,150110,2008-10-17,MITSUBISHI STRADA TRITON 2.8L GLX (4M40UAB2700),261000000,2024-01-31,-261000000.0
984,DAMKAR 01,Damkar 01,150111,2008-10-17,MITSUBISHI FE 74 (125PS) 6 Ban,194000000,2024-01-31,-194000000.0
985,WT 04,Wheel Tractor 04,150112,2008-10-17,JOHN DEERE JD 5715 4 WD (PE4045T722198),232638615,2024-01-31,-232638615.0
986,0,0,150113,2009-01-02,Selisih Kurs Pembelian Alat Berat,94120676,2024-01-31,-94120676.0
987,0,0,150114,2009-01-02,Selisih Kurs Pembelian Alat Berat,8276400,2024-01-31,-8276400.0
988,0,0,150118,2009-02-19,Trailer non Tipping (Body Kayu),23000000,2024-01-31,-23000000.0
989,0,0,150119,2009-03-25,KOMATSU HIDRAULIC EXAVATOR PC 200-7 (C77934),940000000,2024-01-31,-940000000.0
990,0,0,150120,2009-03-25,PPN Masukan,94000000,2024-01-31,-94000000.0
991,WT 06,Wheel Tractor 06,150122,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-01-31,-297395178.0
992,WT 07,Wheel Tractor 07,150123,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-01-31,-297395178.0
993,WT 09,Wheel Tractor 09,150124,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-01-31,-297395178.0
994,WT 10,Wheel Tractor 10,150125,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-01-31,-297395178.0
995,WT 11,Wheel Tractor 11,150126,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-01-31,-297395178.0
996,0,0,150127,2009-04-14,PPN Masukan,177333732,2024-01-31,-177333732.0
997,0,0,150129,2009-05-19,Mitsubishi Strada Triton 2.8 L GLX (4M40UAB3628),289650000,2024-01-31,-289650000.0
998,CP 01,0,150130,2009-05-19,Vibrating Roller Sakai SV512D-H,747124620,2024-01-31,-747124620.0
999,MG 02,0,150131,2009-05-19,Komatsu Motor Grader (GD. 02),1543743300,2024-01-31,-1543743300.0
1000,0,0,150132,2009-09-15,Howard Rotaslasher HS 24/150,32091400,2024-01-31,-32091400.0
1001,0,0,150133,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-01-31,-25000000.0
1002,0,0,150134,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-01-31,-25000000.0
1003,0,0,150135,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-01-31,-25000000.0
1004,0,0,150138,2011-03-16,Tipping Trailer Besi,38293841,2024-01-31,-38293841.0
1005,0,0,150139,2011-03-16,Tipping Trailer Besi,38293841,2024-01-31,-38293841.0
1006,0,0,150140,2011-03-16,Tipping Trailer Besi,38293841,2024-01-31,-38293841.0
1007,WT 12,Wheel Tractor 12,150141,2011-07-18,Tractor JD 5715 PE4045T821579,298449626,2024-01-31,-298449626.0
1008,WT 13,Wheel Tractor 13,150142,2011-07-18,Tractor JD 5715 PE4045T821574,299831125,2024-01-31,-299831125.0
1009,WT 14,Wheel Tractor 14,150143,2011-07-18,Tractor JD 5715 PE4045T821589,298449626,2024-01-31,-298449626.0
1010,WT 15,Wheel Tractor 15,150144,2011-07-18,Tractor JD 5715 PE4045T819667,299831125,2024-01-31,-299831125.0
1011,0,0,150145,2011-10-19,Tangki Trailer Semprot,34790355,2024-01-31,-34790355.0
1012,0,0,150146,2011-12-30,Trackling Exc 01,134600210,2024-01-31,-134600210.0
1013,0,0,150148,2012-02-23,Toyota Hilux Type G (2KDS005619),348260573,2024-01-31,-348260573.0
1014,0,0,150149,2012-02-23,Toyota Hilux Type E (2KD8861991),323496082,2024-01-31,-323496082.0
1015,0,0,150150,2012-06-12,Motor Kawasaki KLX  1505,24600000,2024-01-31,-24600000.0
1016,WT 16,Wheel Tractor 16,150151,2012-06-25,Tractor JD 5715 (PE4045T861684),347209500,2024-01-31,-347209500.0
1017,0,0,150152,2012-07-10,Tiping Trailer,39558333,2024-01-31,-39558333.0
1018,0,0,150153,2012-07-10,Tiping Trailer,39990477,2024-01-31,-39990477.0
1019,0,0,150154,2012-07-10,Tiping Trailer,39990477,2024-01-31,-39990477.0
1020,0,0,150155,2012-07-10,Tiping Trailer,39990477,2024-01-31,-39990477.0
1021,BD 02,Buldozer Mini 02,150156,2012-07-31,Mini Bulldozer Komatsu,1064777982,2024-01-31,-1064777982.0
1022,WT 17,Wheel Tractor 17,150157,2012-08-29,Tractor JD 5715 E/N: PE4045T868501,340656738,2024-01-31,-340656738.0
1023,WT 18,Wheel Tractor 18,150158,2012-08-29,Tractor JD 5715 E/N: PE4045T859394,340656738,2024-01-31,-340656738.0
1024,KB 7015 V,Mobil KB 7015 V,150159,2013-01-09,Isuzu Elf Microbus NKR55 16 Seat,256349545,2024-01-31,-256349545.0
1025,BD 03,Buldozer Mini 03,150160,2013-01-18,Komatsu Bulldozer D31E-20,1059051043,2024-01-31,-1059051043.0
1026,0,0,150161,2013-03-08,Scissor Lift Trailer Kapasitas 2 Ton Hydraulic,67060052,2024-01-31,-67060052.0
1027,0,0,150162,2013-04-01,Tipping Trailer Kapasitas 5 Ton,40400000,2024-01-31,-40400000.0
1028,0,0,150163,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-01-31,-39822946.0
1029,0,0,150164,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-01-31,-39822946.0
1030,0,0,150165,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1132 XX,350471492,2024-01-31,-350471492.0
1031,0,0,150166,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1135 XX,350471492,2024-01-31,-350471492.0
1032,0,0,150167,2014-03-18,Bak Dump Besi Standard utk Truck MIT Canter,44000000,2024-01-31,-44000000.0
1033,0,0,150168,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-01-31,-42700000.0
1034,0,0,150169,2014-03-18,Delete,0,2024-01-31,0.0
1035,0,0,150170,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-01-31,-41873675.0
1036,0,0,150171,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-01-31,-42700000.0
1037,0,0,150172,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-01-31,-42700000.0
1038,0,0,150173,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-01-31,-41873675.0
1039,0,0,150174,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-01-31,-41873675.0
1040,KB 1582 VA,Mobil KB 1582 VA,150176,2014-10-27,Toyota New Fortuner 2.5 G A/T 4X4 DIESEL Thn 2014,474050064,2024-01-31,-474050064.0
1041,0,0,150177,2014-11-21,Trailer Tangki Air Semprot Kapasitas 5 Ton,46894179,2024-01-31,-46894179.0
1042,BL 01,0,150178,2016-07-11,Backhoe Loader,1005126216,2024-01-31,-952870183.0
1043,0,0,150179,2008-03-02,TANGKI SOLAR KAPASITAS 6000 LITER & AKSESORIS,13750000,2024-01-31,-13750000.0
1044,0,0,150180,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-01-31,-8650000.0
1045,0,0,150181,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-01-31,-8650000.0
1046,0,0,150182,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-01-31,-8650000.0
1047,0,0,150183,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-01-31,-8650000.0
1048,0,0,150184,2009-09-03,Motor Kawasaki KLX,24100000,2024-01-31,-24100000.0
1049,0,0,150185,2009-09-03,Motor Kawasaki KLX,24100000,2024-01-31,-24100000.0
1050,0,0,150186,2014-01-29,Toyota Hilux DC G M/T 2.5 Diesel Silver Metalic,351029380,2024-01-31,-351029380.0
1051,0,0,150187,2014-01-29,Ban Luar 31 - 10.5 R15 D673,5235523,2024-01-31,-5235523.0
1052,0,0,150188,2014-01-29,Kaca Film Toyota Hilux Double Cabin V-Kool,6682123,2024-01-31,-6682123.0
1053,KB 8233 VA,Mobil KB 8233 VA,150192,2018-11-10,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170287/0505089,307636364,2024-01-31,-201886383.0
1054,KB 8235 VA,Mobil KB 8235 VA,150193,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170284/4513152,307636364,2024-01-31,-201886383.0
1055,KB 8234 VA,Mobil KB 8234 VA,150194,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170289/0505399,307636364,2024-01-31,-201886383.0
1056,WT 19,Wheel Tractor 19,150195,2018-12-10,TRACTOR JD NO.RK/MSN 15XHJ0036305/PE4045E009693,598000000,2024-01-31,-386208310.0
1057,WT 20,Wheel Tractor 20,150196,2018-12-10,TRACTOR JD NO.RK/MSN 15XEJ0036306/PE4045E009753,598000000,2024-01-31,-386208310.0
1058,WT 21,Wheel Tractor 21,150197,2018-12-10,TRACTOR JD NO.RK/MSN 15XCJ0036307/PE4045E009694,598000000,2024-01-31,-386208310.0
1059,DT 07,Dump Truck 07,150198,2019-01-01,Hino Dutro No.R/Msn :MJECIJG43J5173895/W04DTR63691,332638545,2024-01-31,-211364081.0
1060,DT 06,Dump Truck 06,150199,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173894/W04DTRR63650,332638545,2024-01-31,-211364081.0
1061,DT 05,Dump Truck 05,150200,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173893/W04DTRR63649,332638545,2024-01-31,-211364081.0
1062,DT 04,Dump Truck 04,150201,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173892/W04DTRR63648,332638545,2024-01-31,-211364081.0
1063,BL 03,Backho Loader 03,150202,2019-01-01,Backhoe Loader 3DX : HAR3DXSUAJ1609822/H00195772,985000000,2024-01-31,-625885393.0
1064,BL 04,Backho Loader 04,150203,2019-01-01,Backhoe Loader 3DX : HAR3DXSUEJ1609906/H00199901,985000000,2024-01-31,-625885393.0
1065,0,0,150204,2019-01-02,Tipping Trailer 9.00-20,228000000,2024-01-31,-144875000.0
1066,KB 8417 VA,Mobil KB 8417 VA,150205,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN XK1208532/4635480,457761800,2024-01-31,-271796066.0
1067,KB 8419 VA,Mobil KB 8419 VA,150206,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 4K1120964/4642261,457761800,2024-01-31,-271796066.0
1068,KB 8418 VA,Mobil KB 8418 VA,150207,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 7K1120991/4645194,438261800,2024-01-31,-260217941.0
1069,DT 12,Dump Truck 12,150208,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182412/W04DTRR72303,344181818,2024-01-31,-182846617.0
1070,DT 11,Dump Truck 11,150209,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182411/W04DTRR72302,344181818,2024-01-31,-182846617.0
1071,DT 10,Dump Truck 10,150210,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182410/W04DTRR72301,344181818,2024-01-31,-182846617.0
1072,DT 09,Dump Truck 09,150211,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182409/W04DTRR72295,344181818,2024-01-31,-182846617.0
1073,DT 08,Dump Truck 08,150212,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182408/W04DTRR72294,344181819,2024-01-31,-182846617.0
1074,DT 14,Dump Truck 14,150213,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182414/W04DTRR72305,344181819,2024-01-31,-182846617.0
1075,DT 13,Dump Truck 13,150214,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182413/W04DTRR72304,344181819,2024-01-31,-182846617.0
1076,WL 01,Wheel Loader 01,150215,2019-11-28,WHEEL LOADER 924K CL2 KW402112 PO 1277,2000000000,2024-01-31,-1062500024.0
1077,Exca 06,Excavator 06,150216,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10284 PO 1277,1091000000,2024-01-31,-579593774.0
1078,Exca 05,Excavator 05,150217,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10287 PO 1277,1091000000,2024-01-31,-579593774.0
1079,Exca 04,Excavator 04,150218,2019-11-28,EXCAVATOR 20T (320) YBP00998 PO 1277,1600300000,2024-01-31,-850159351.0
1080,CP 02,Compactor 02,150219,2019-11-28,COMPACTOR CS11GC RK800289 PO 1277,856000000,2024-01-31,-454749976.0
1081,MG 03,Motor Greader 03,150220,2019-11-28,MOTOR GRADER 120K SZN20204 PO 1277,2061500000,2024-01-31,-1095171899.0
1082,KB 8641 VA,Mobil KB 8641 VA,150221,2020-04-08,Toyota Hilux Double Cabin 2.4G MR0KB8CD1-L1210817,412643848,2024-01-31,-197725198.0
1083,KB 8638 VA,Mobil KB 8638 VA,150222,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210891,412643848,2024-01-31,-197725198.0
1084,KB 8639 VA,Mobil KB 8639 VA,150223,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210888,412643848,2024-01-31,-197725198.0
1085,Exca 07,Excavator 07,150224,2020-06-08,EXCAVATOR 20T NO. SERI: YBP01063 PO 0477,1670000000,2024-01-31,-765416690.0
1086,MG 04,Motor Greader 04,150225,2020-06-08,MOTOR GRADER 120K NO. SERI: E9600207 PO 0477,2308000000,2024-01-31,-1057833310.0
1087,CP 03,Compactor 03,150226,2020-06-08,COMPACTOR CS11GC NO. SERI: RK800558 PO 0477,900000000,2024-01-31,-412500000.0
1088,FOR 01,Forklift 01,150227,2020-06-08,FORKLIFT DP30ND NO. SERI: CT14E-20721 PO 0477,301000000,2024-01-31,-137958310.0
1089,DAMKAR 02,Damkar 02,150228,2020-06-24,Truk Hino Dutro 130HD MJEC1JG43L5187994 PO 0056,363909090,2024-01-31,-166791642.0
1090,DT 15,Dump Truck 15,150229,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188597 PO 0480,369981818,2024-01-31,-169575026.0
1091,DT 16,Dump Truck 16,150230,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188600 PO 0480,369981818,2024-01-31,-169575026.0
1092,DT 17,Dump Truck 17,150231,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188602 PO 0480,369981818,2024-01-31,-169575026.0
1093,DT 18,Dump Truck 18,150232,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188603 PO 0480,369981818,2024-01-31,-169575026.0
1094,DT 19,Dump Truck 19,150233,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188604 PO 0480,369981818,2024-01-31,-169575026.0
1095,TR 01,Tronton 01,150234,2020-07-15,Tronton Hino FM 260 JW MJEC1JG43L5188603 PO 0406,1271418182,2024-01-31,-569489415.0
1096,Exca 08,Excavator Mini 08,150235,2020-11-26,EXCAVATOR CAT 305.5E2 MINI 7LD2957 PO 1124,620000000,2024-01-31,-251875024.0
1097,CP 04,Compactor 04,150236,2021-03-27,Sakai Vibrating Roller SV526D ID 25V70-10269 PO176,860000000,2024-01-31,-313541666.6666662
1098,MG 05,Motor Greader 05,150237,2021-04-30,Komatsu Motor Grader GD535-5 J10185 PO 0187,2050000000,2024-01-31,-726041666.6666675
1099,Exca 09,Excavator Mini 09,150238,2021-04-28,Mini Excavator Catterpillar M13C00305.5E2 PO 0174,628100000,2024-01-31,-222452083.3333336
1100,WT 22,Wheel Tractor 22,150239,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO12 PO 0102,265000000,2024-01-31,-91093750.00000004
1101,WT 23,Wheel Tractor 23,150240,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO14 PO 0102,265000000,2024-01-31,-91093750.00000004
1102,0,0,150241,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-01-31,-18218749.99999997
1103,0,0,150242,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-01-31,-18218749.99999997
1104,WT 22,Wheel Tractor 22,150243,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-01-31,-56718750.0
1105,WT 23,Wheel Tractor 23,150244,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-01-31,-56718750.0
1106,BL 05,Backho Loader 05,150245,2021-05-12,Backhoe Loader JCB 3DX-4T-CM H00291096 PO 0175,1000000000,2024-01-31,-343749999.99999964
1107,BIN 01,BIN System 01,150246,2021-06-21,Truck Hino Dutro 130 HD MJEC1JG43L5191023 PO 0017,481818181,2024-01-31,-160606060.3333335
1108,BIN 01,BIN System 01,150247,2021-06-21,Bak Bin System Incl. Transport PO 0020,215306120,2024-01-31,-71768706.66666657
1109,KB 8890 VA,Mobil KB 8890 VA,150248,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110752 PO 0327,318500000,2024-01-31,-106166666.66666657
1110,KB 8892 VA,Mobil KB 8892 VA,150249,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110735 PO 0327,318500000,2024-01-31,-106166666.66666657
1111,KB 8891 VA,Mobil KB 8891 VA,150250,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB8-M0110793 PO 0327,318500000,2024-01-31,-106166666.66666657
1112,DT 21,Dump Truck 21,150251,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035075 PO721,420436364,2024-01-31,-122627272.83333348
1113,DT 22,Dump Truck 22,150252,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035076 PO721,420436364,2024-01-31,-122627272.83333348
1114,DT 23,Dump Truck 23,150253,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035078 PO721,420436364,2024-01-31,-122627272.83333348
1115,DT 20,Dump Truck 20,150254,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035054 PO721,420436364,2024-01-31,-122627272.83333348
1116,Exca 10,Excavator 10,150255,2022-02-11,Excavator CAT 313D2 CAT-MFX11679 LKR00254 PO 1395,1210000000,2024-01-31,-302500000.0000003
1117,Exca 11,Excavator 11,150256,2022-02-11,Excavator CAT 313D2 CAT-MFX11678 LKR00256 PO 1395,1210000000,2024-01-31,-302500000.0000003
1118,Exca 12,Excavator Mini 12,150257,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216651 PO 1396,668500000,2024-01-31,-160161458.33333343
1119,Exca 13,Excavator Mini 13,150258,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216656 PO 1396,668500000,2024-01-31,-160161458.33333343
1120,Exca 14,Excavator Mini 14,150259,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216682 PO 1396,668500000,2024-01-31,-160161458.33333343
1121,Exca 15,Excavator Mini 15,150260,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216693 PO 1396,668500000,2024-01-31,-160161458.33333343
1122,WT 24,Wheel Tractor 24,150261,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000056 PO 0009,440000000,2024-01-31,-105416666.66666678
1123,WT 25,Wheel Tractor 25,150262,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000053 PO 0009,440000000,2024-01-31,-105416666.66666678
1124,WT 26,Wheel Tractor 26,150263,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000047 PO 0009,440000000,2024-01-31,-105416666.66666678
1125,WT 27,Wheel Tractor 27,150264,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000046 PO 0009,440000000,2024-01-31,-105416666.66666678
1126,0,0,150265,2022-03-25,Honda CB150X STD MH1KCE118NK006042 PO 0294,30359182,2024-01-31,-14547108.04166667
1127,0,0,150266,2022-03-25,Honda CB150X STD MH1KCE11XN005510 PO 0294,30359182,2024-01-31,-14547108.04166667
1128,0,0,150267,2022-03-25,Honda CB150X STD MH1KCE113NK006588 PO 0294,30359182,2024-01-31,-14547108.04166667
1129,KB 8167 VB,Mobil KB 8167 VB,150268,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD7-N1130070 PO 0150,422500000,2024-01-31,-96822916.66666657
1130,KB 8166 VB,Mobil KB 8166 VB,150269,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD9-N1215007 PO 0150,422500000,2024-01-31,-96822916.66666657
1131,KB 8183 VB,Mobil KB 8183 VB,150270,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD3-N1130308 PO 0150,422500000,2024-01-31,-96822916.66666657
1132,BIN 02,BIN System 02,150271,2022-04-07,Bak Bin System (No. 6) PO 1169,44400000,2024-01-31,-10175000.0
1133,BIN 02,BIN System 02,150272,2022-04-07,Bak Bin System (No. 7) PO 1169,44400000,2024-01-31,-10175000.0
1134,BIN 02,BIN System 02,150273,2022-04-07,Bak Bin System (No. 8) PO 1169,44400000,2024-01-31,-10175000.0
1135,BIN 02,BIN System 02,150274,2022-04-07,Bak Bin System (No. 9) PO 1169,44400000,2024-01-31,-10175000.0
1136,BIN 02,BIN System 02,150275,2022-04-07,Bak Bin System (No. 10) PO 1169,44400000,2024-01-31,-10175000.0
1137,BIN 03,BIN System 03,150276,2022-04-07,Bak Bin System (No. 11) PO 1169,44400000,2024-01-31,-10175000.0
1138,BIN 03,BIN System 03,150277,2022-04-07,Bak Bin System (No. 12) PO 1169,44400000,2024-01-31,-10175000.0
1139,BIN 03,BIN System 03,150278,2022-04-07,Bak Bin System (No. 13) PO 1169,44400000,2024-01-31,-10175000.0
1140,BIN 03,BIN System 03,150279,2022-04-07,Bak Bin System (No. 14) PO 1169,44400000,2024-01-31,-10175000.0
1141,BIN 03,BIN System 03,150280,2022-04-07,Bak Bin System (No. 15) PO 1169,44400000,2024-01-31,-10175000.0
1142,BIN 03,BIN System 03,150281,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039127 PO1168,530472727,2024-01-31,-121566666.60416669
1143,BIN 02,BIN System 02,150282,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039126 PO1168,530472727,2024-01-31,-121566666.60416669
1144,DT 24,Dump Truck 24,150283,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041190 PO 0010,443163636,2024-01-31,-101558333.25
1145,DT 25,Dump Truck 25,150284,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041211 PO 0010,443163636,2024-01-31,-101558333.25
1146,DT 26,Dump Truck 26,150285,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041218 PO 0010,443163636,2024-01-31,-101558333.25
1147,DT 27,Dump Truck 27,150286,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041220 PO 0010,443163636,2024-01-31,-101558333.25
1148,DT 28,Dump Truck 28,150287,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041223 PO 0010,443163636,2024-01-31,-101558333.25
1149,DT 29,Dump Truck 29,150288,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041224 PO 0010,443163636,2024-01-31,-101558333.25
